,sigma8,Omega_cdm,Omega_b,h,n_s,tau
30593,0.81089235,0.25949362,0.048721405,0.67748611,0.96701451,0.058465603
30594,0.81283142,0.26233454,0.048989505,0.67549008,0.96579651,0.058007441
30595,0.8125095,0.26219758,0.048999403,0.67560637,0.9650404,0.058748156
30596,0.81278821,0.26276149,0.049065041,0.67519283,0.96478618,0.058759567
30597,0.81144038,0.25989028,0.048874685,0.67761476,0.96626313,0.059750965
30598,0.81996281,0.25923384,0.048855325,0.67850249,0.97012971,0.067136999
30599,0.81202902,0.25284485,0.048334186,0.68326168,0.97182405,0.064982445
30600,0.81102529,0.27005079,0.049760414,0.66964363,0.96678543,0.048683819
30601,0.81031715,0.27155481,0.049651748,0.66782153,0.96412956,0.047662429
30602,0.8117518,0.27549961,0.05013091,0.6647088,0.95958254,0.048778584
30603,0.81107852,0.27465722,0.050096559,0.66549067,0.95919261,0.048450672
30604,0.81450443,0.2794516,0.050604569,0.66189951,0.95729685,0.047482233
30605,0.81403077,0.28040837,0.050672033,0.6611731,0.9583131,0.046577722
30606,0.81418558,0.2797221,0.050598956,0.6616397,0.95876295,0.047358773
30607,0.81237929,0.27795217,0.050447422,0.66311492,0.95875276,0.046854916
30608,0.81300429,0.27391919,0.050158306,0.66646546,0.96247815,0.04843158
30609,0.81427414,0.27375908,0.050122916,0.6666897,0.96385952,0.049494875
30610,0.81471336,0.27460187,0.050184627,0.66609364,0.96320111,0.049105029
30611,0.81517924,0.27481699,0.050217894,0.66598052,0.96304928,0.049094172
30612,0.81524884,0.2702971,0.049886835,0.66968975,0.96269552,0.05046197
30613,0.80600536,0.27121,0.049846085,0.66837431,0.96044835,0.040294776
30614,0.80609632,0.27164998,0.049886821,0.66804125,0.96026366,0.039959893
30615,0.80394338,0.26946495,0.049791885,0.66988486,0.95709959,0.039536116
30616,0.80685965,0.26689439,0.049968181,0.67296064,0.9600838,0.044236539
30617,0.80963309,0.27145155,0.050340224,0.66869919,0.95793577,0.046494212
30618,0.80913732,0.27193948,0.050409813,0.66837825,0.95785213,0.045676704
30619,0.79783456,0.25802297,0.049001809,0.67826023,0.97085037,0.041053138
30620,0.79862933,0.26033076,0.049179849,0.67642421,0.97063922,0.039972282
30621,0.80727476,0.26994153,0.049968435,0.66849661,0.96649295,0.047486167
30622,0.80716356,0.26964289,0.049944128,0.66873492,0.96662365,0.047557322
30623,0.80845136,0.26909691,0.049776332,0.66960851,0.9664994,0.052865232
30624,0.81240408,0.25852683,0.049016705,0.67830918,0.96647701,0.066709386
30625,0.81769274,0.2629974,0.049198286,0.67494713,0.96472873,0.071398458
30626,0.81844373,0.25837257,0.048891785,0.67933345,0.96955476,0.073727826
30627,0.81555005,0.2686322,0.049770153,0.67161432,0.96935331,0.058769295
30628,0.82033469,0.2757583,0.050256704,0.66596634,0.96489798,0.059358907
30629,0.81629676,0.27533449,0.050095963,0.66578729,0.96362788,0.057485183
30630,0.81075323,0.27009957,0.049872662,0.66996537,0.96544117,0.055224851
30631,0.81112087,0.26851193,0.049503786,0.67069864,0.9661217,0.05678962
30632,0.81111394,0.26863757,0.049514155,0.67059654,0.9660245,0.056684052
30633,0.81803863,0.2736075,0.049925722,0.66661937,0.96672806,0.060476778
30634,0.81776536,0.27416093,0.049964246,0.66605097,0.96619126,0.060078139
30635,0.82067072,0.27513494,0.050255697,0.66527032,0.96555078,0.064075964
30636,0.82220191,0.2770031,0.050359569,0.66341301,0.96604216,0.063473522
30637,0.82484618,0.27034429,0.05014779,0.6697356,0.96249696,0.06487368
30638,0.80984021,0.27297828,0.05004986,0.66731299,0.96164367,0.040271183
30639,0.80804953,0.27197585,0.049843257,0.6678125,0.96194075,0.040630638
30640,0.80998156,0.26966346,0.049701341,0.6697886,0.96285126,0.044744775
30641,0.81016484,0.26967378,0.049693212,0.66975572,0.96294271,0.044994976
30642,0.80820376,0.27036012,0.049817986,0.66926524,0.9609864,0.042943204
30643,0.80720713,0.26995377,0.049785224,0.66945427,0.96125427,0.042382777
30644,0.80515408,0.25795312,0.049142205,0.67980893,0.96621107,0.050343198
30645,0.80887096,0.25469008,0.048746395,0.68210516,0.96669279,0.055800488
30646,0.8153507,0.25858108,0.04898557,0.67855279,0.96640389,0.060760573
30647,0.81473229,0.25884014,0.049008888,0.6783354,0.96623412,0.059648184
30648,0.81573151,0.26172076,0.049340158,0.6764242,0.96583806,0.058206907
30649,0.81670725,0.26308873,0.049448421,0.67545509,0.96339198,0.058959131
30650,0.81796925,0.2651197,0.049707679,0.67392872,0.96317794,0.060400519
30651,0.8154962,0.26489758,0.049632338,0.67383128,0.96397489,0.058450147
30652,0.81378396,0.25821298,0.048913274,0.67926926,0.96632131,0.060888922
30653,0.81234966,0.25625135,0.048702441,0.68071057,0.96732443,0.060868643
30654,0.80880075,0.25231479,0.048514195,0.6838274,0.96649422,0.060561599
30655,0.80886763,0.25193859,0.048475003,0.68414527,0.96666685,0.060985094
30656,0.80672107,0.25251096,0.048459441,0.68352222,0.96596789,0.058986829
30657,0.80688449,0.25453299,0.04870317,0.68223801,0.96556598,0.058934573
30658,0.80935488,0.26906012,0.049750514,0.67107618,0.95900347,0.0473271
30659,0.80503961,0.26648258,0.049555848,0.67322432,0.96184631,0.044592139
